id,text,created_at,public_metrics,author_id,context_annotations
1643860090229800960,"Maye Musk visited Tesla's factory in Shanghai 🇨🇳🏭

@Tesla_Asia @elonmusk @mayemusk
https://t.co/SWNgjyfpmM",2023-04-06 06:16:01+00:00,"{'retweet_count': 127, 'reply_count': 79, 'like_count': 1070, 'quote_count': 13, 'impression_count': 78360}",1198495865301864448,"['Business Taxonomy :\n Automotive, Aircraft & Boat Business', 'Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Gaming Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Entities [Entity Service] :\n Auto Manufacturer - Auto', 'Brand :\n Tesla Motors', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Vertical :\n Automotive', 'Interests and Hobbies Category :\n Hybrid and electric vehicles', 'Interests and Hobbies Category :\n Luxury Cars', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Tesla Motors', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Automotive', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities', 'Unified Twitter Taxonomy :\n Automobile Brands']"
1644024680066457613,"First road trip in the Tesla Model 3 Performance. 🤩 

Florida to South Carolina. 600 miles is no problem with Tesla Autopilot and the Supercharger Network. 💪 https://t.co/2EttE6y1dJ",2023-04-06 17:10:02+00:00,"{'retweet_count': 55, 'reply_count': 153, 'like_count': 916, 'quote_count': 17, 'impression_count': 1654754}",1447963180567863314,"['Business Taxonomy :\n Automotive, Aircraft & Boat Business', 'Business Taxonomy :\n Travel & Transportation Business', 'Entities [Entity Service] :\n Travel', 'Interests and Hobbies :\n Adventure travel', 'Unified Twitter Taxonomy :\n Road trips', 'States :\n South Carolina', 'Travel :\n Road trips', 'Entities [Entity Service] :\n Auto Manufacturer - Auto', 'Brand :\n Tesla Motors', 'Product :\n Tesla - Model 3', 'Entities [Entity Service] :\n Travel', 'Interests and Hobbies Vertical :\n Automotive', 'Interests and Hobbies Category :\n Hybrid and electric vehicles', 'Interests and Hobbies Category :\n Luxury Cars', 'Interests and Hobbies :\n Travel Actions', 'Unified Twitter Taxonomy :\n Tesla Motors', 'Unified Twitter Taxonomy :\n Automotive', 'Unified Twitter Taxonomy :\n Automobile Brands', 'States :\n Florida']"
1644080173623435264,"BREAKING: @Tesla Co-Founder and current Redwood Materials Founder/CEO, JB Straubel, has been nominated to Tesla's Board of Directors, according to a new filing. 

Much deserved! https://t.co/StBtTmjx6H",2023-04-06 20:50:33+00:00,"{'retweet_count': 499, 'reply_count': 292, 'like_count': 5772, 'quote_count': 112, 'impression_count': 738536}",243013409,"['Business Taxonomy :\n Automotive, Aircraft & Boat Business', 'Entities [Entity Service] :\n Auto Manufacturer - Auto', 'Brand :\n Tesla Motors', 'Interests and Hobbies Vertical :\n Automotive', 'Interests and Hobbies Category :\n Hybrid and electric vehicles', 'Interests and Hobbies Category :\n Luxury Cars', 'Unified Twitter Taxonomy :\n Tesla Motors', 'Unified Twitter Taxonomy :\n Automotive', 'Unified Twitter Taxonomy :\n Automobile Brands']"
1644071709924794371,"I've always chosen the non-standard path through life. For a long time I was ashamed of this, of being weird, but I've started to see that ""weird"" is the edge of human civilization creating something new. So, be weird and be kind, the universe is waiting to see what we create.",2023-04-06 20:16:55+00:00,"{'retweet_count': 1565, 'reply_count': 818, 'like_count': 13933, 'quote_count': 174, 'impression_count': 1030701}",427089628,"['Person :\n Lex Fridman', 'Business Taxonomy :\n Technology Business', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Lex Fridman']"
1643962882168868869,Value investing in venture is like restricting your search for your lost keys under only brightly lit street lamps.,2023-04-06 13:04:29+00:00,"{'retweet_count': 43, 'reply_count': 35, 'like_count': 482, 'quote_count': 9, 'impression_count': 264185}",11768582,['Business Taxonomy :\n Financial Services Business']
1644042377655631874,Amazing watching all these news publications claim Twitter is turning into shit while I've never enjoyed the platform more lol,2023-04-06 18:20:22+00:00,"{'retweet_count': 59, 'reply_count': 98, 'like_count': 976, 'quote_count': 7, 'impression_count': 129200}",17862108,[]
1643984586551234562,"[on early Tesla days] “I went down to zero cash or sellable assets in 2008/2009, had no house &amp; had to borrow money from friends to pay rent.”

| Elon Musk",2023-04-06 14:30:43+00:00,"{'retweet_count': 671, 'reply_count': 380, 'like_count': 6704, 'quote_count': 62, 'impression_count': 1257779}",1495956968640421893,"['Business Taxonomy :\n Automotive, Aircraft & Boat Business', 'Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Entities [Entity Service] :\n Auto Manufacturer - Auto', 'Brand :\n Tesla Motors', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Vertical :\n Automotive', 'Interests and Hobbies Category :\n Hybrid and electric vehicles', 'Interests and Hobbies Category :\n Luxury Cars', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Tesla Motors', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Automotive', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities', 'Unified Twitter Taxonomy :\n Automobile Brands']"
1644013222540746757,Indoor mall aquarium. 🦈 https://t.co/TbAfpYva7j,2023-04-06 16:24:31+00:00,"{'retweet_count': 33, 'reply_count': 58, 'like_count': 723, 'quote_count': 5, 'impression_count': 114228}",57441414,[]
1643947008305102849,"“Profit just means that people are paying you more for whatever you’re doing than you’re spending to create it. That’s a good thing. And if that’s not the case you’ll be out of business and rightfully so, because you’re not adding enough value.”

| Elon Musk",2023-04-06 12:01:24+00:00,"{'retweet_count': 144, 'reply_count': 123, 'like_count': 1112, 'quote_count': 25, 'impression_count': 147370}",1495956968640421893,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1644066270906667017,This is the right move as Twitter continues to merge Twitter Blue with Legacy Verified,2023-04-06 19:55:18+00:00,"{'retweet_count': 15, 'reply_count': 11, 'like_count': 193, 'quote_count': 1, 'impression_count': 18749}",752567226,"['Entities [Entity Service] :\n Services', 'Brand :\n Twitter', 'Product :\n Twitter Blue', 'Unified Twitter Taxonomy :\n Twitter Blue', 'Technology :\n Social media', 'Brand :\n Twitter']"
