id,text,created_at,public_metrics,in_reply_to_user_id,context_annotations
1643018627426439169,"@WholeMarsBlog If we had been allowed to introduce new evidence, the verdict would’ve been zero imo.

Jury did the best they could with the information they had. I respect the decision.",2023-04-03 22:32:21+00:00,"{'retweet_count': 1520, 'reply_count': 792, 'like_count': 26211, 'quote_count': 55, 'impression_count': 2212248}",1263491240336769026,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1643017751773220864,@LanceUlanoff 🤣,2023-04-03 22:28:52+00:00,"{'retweet_count': 83, 'reply_count': 171, 'like_count': 1714, 'quote_count': 11, 'impression_count': 117195}",1501471,"['Person :\n Lance Ulanoff', 'Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Journalist :\n Lance Ulanoff', 'Unified Twitter Taxonomy :\n News', 'Unified Twitter Taxonomy :\n Lance Ulanoff', 'Unified Twitter Taxonomy :\n Journalists', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1643016420287193088,@eCash1337 @TheRabbitHole84 🤣,2023-04-03 22:23:35+00:00,"{'retweet_count': 70, 'reply_count': 65, 'like_count': 1428, 'quote_count': 6, 'impression_count': 89926}",1366554872162656259,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1643002118876590080,@TheRabbitHole84 Wise words. The technology finally exists to change that.,2023-04-03 21:26:45+00:00,"{'retweet_count': 3155, 'reply_count': 1164, 'like_count': 30988, 'quote_count': 130, 'impression_count': 1698369}",1485689970593468416,"['Entities [Entity Service] :\n Services', 'Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Product :\n Google Innovation', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1643001067356192768,@andst7 @CommunityNotes Thanks for the correction,2023-04-03 21:22:34+00:00,"{'retweet_count': 243, 'reply_count': 196, 'like_count': 4643, 'quote_count': 16, 'impression_count': 742546}",541882699,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642997390490898432,@jborg_arts Why would anyone who doesn’t live in New York care about their times!? I’m confused.,2023-04-03 21:07:57+00:00,"{'retweet_count': 3377, 'reply_count': 3161, 'like_count': 58380, 'quote_count': 279, 'impression_count': 4368973}",1136886740424073216,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642995793320869888,@TheRabbitHole84 They voluntarily did exactly what I wanted them to do https://t.co/MqOSLaXk7l,2023-04-03 21:01:37+00:00,"{'retweet_count': 2143, 'reply_count': 2303, 'like_count': 32280, 'quote_count': 278, 'impression_count': 4446753}",1485689970593468416,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642994943949172736,@arjansiddhpura @kcoleman @ScottAdamsSays Yes,2023-04-03 20:58:14+00:00,"{'retweet_count': 60, 'reply_count': 64, 'like_count': 1174, 'quote_count': 9, 'impression_count': 73311}",1071495381765128192,"['Person :\n Scott Adams', 'Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Entertainment Personality :\n Scott Adams', 'Unified Twitter Taxonomy :\n Comic artists & writers', 'Unified Twitter Taxonomy :\n Scott Adams', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642991603093737473,@TheRabbitHole84 It is media’s control of what to write about in the first place that is far more insidious than having some facts wrong in an article,2023-04-03 20:44:58+00:00,"{'retweet_count': 7373, 'reply_count': 2062, 'like_count': 59823, 'quote_count': 298, 'impression_count': 5946117}",1485689970593468416,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642988838510534656,@mayemusk 🤣,2023-04-03 20:33:59+00:00,"{'retweet_count': 455, 'reply_count': 651, 'like_count': 10965, 'quote_count': 26, 'impression_count': 1121781}",14171401,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642987181219381249,@dogeofficialceo 😎,2023-04-03 20:27:23+00:00,"{'retweet_count': 687, 'reply_count': 618, 'like_count': 19185, 'quote_count': 39, 'impression_count': 1588354}",1355945100216573952,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642985431146041346,@JoeyMooose Nope,2023-04-03 20:20:26+00:00,"{'retweet_count': 326, 'reply_count': 547, 'like_count': 10010, 'quote_count': 22, 'impression_count': 493264}",1428187867025657870,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
